"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Alexis Diaz","CIN","7","3","10","59","0","63.2","11.73","4.66","0.71",".178","81.4%","30.3%","6.9%","95.8","1.84","2.76","3.32","3.97","1.0","21132","664747"
"Adrian Houser","MIL","6","10","0","22","21","102.2","6.05","4.12","0.70",".289","61.1%","46.7%","8.0%","94.4","4.73","4.94","4.21","4.64","1.0","12718","605288"
"Dakota Hudson","STL","8","7","0","27","26","139.2","5.03","3.93","0.58",".301","70.6%","53.0%","7.2%","91.6","4.45","5.01","4.34","4.82","1.0","19206","641712"
"Buck Farmer","CIN","2","2","2","44","0","47.0","10.34","4.79","0.38",".291","69.3%","42.7%","4.5%","94.8","3.83","3.51","3.03","3.86","1.0","14814","571656"
"Taylor Rogers","- - -","4","8","31","66","0","64.1","11.75","2.66","0.98",".327","63.5%","42.4%","11.9%","94.3","4.76","4.11","3.31","3.26","1.0","13449","573124"
"Nathan Eovaldi","BOS","6","3","0","20","20","109.1","8.48","1.65","1.73",".298","76.0%","47.0%","17.2%","95.9","3.87","4.31","4.30","3.46","1.0","9132","543135"
"Hunter Harvey","WSN","2","1","0","38","0","39.1","10.30","2.75","0.23",".323","75.7%","39.0%","2.3%","98.3","2.52","2.76","2.07","3.40","1.0","15507","640451"
"Enyel De Los Santos","CLE","5","0","1","50","0","53.1","10.29","2.87","0.51",".280","74.8%","39.8%","6.5%","95.5","3.04","3.91","2.62","3.17","1.0","18403","660853"
"Nick Nelson","PHI","3","2","1","47","2","68.2","9.04","4.72","0.13",".332","65.0%","39.8%","1.3%","96.5","4.85","3.64","3.04","4.47","1.0","20153","656793"
"Andrew Bellatti","PHI","4","4","2","59","1","54.1","12.92","4.14","0.83",".347","72.7%","27.4%","8.1%","94.5","3.31","3.64","2.87","3.37","1.0","10657","571479"
"Seranthony Dominguez","PHI","6","5","9","54","0","51.0","10.76","3.88","0.71",".269","76.8%","48.0%","9.8%","97.8","3.00","3.36","3.09","3.26","1.0","19249","622554"
"Austin Voth","- - -","5","4","0","41","17","101.2","7.97","2.74","1.24",".319","74.2%","34.5%","10.3%","93.6","4.34","4.40","4.14","4.33","1.0","15047","608723"
"James Karinchak","CLE","2","0","3","38","0","39.0","14.31","4.85","0.46",".270","85.0%","25.0%","5.1%","95.3","2.08","2.92","2.29","3.11","1.0","20151","675916"
"Cionel Perez","BAL","7","1","1","66","0","57.2","8.58","3.28","0.31",".284","87.4%","51.3%","4.3%","97.2","1.40","3.62","2.80","3.56","1.0","19614","672335"
"J.P. Feyereisen","TBR","4","0","1","22","2","24.1","9.25","1.85","0.00",".125","91.7%","33.9%","0.0%","92.7","0.00","2.43","1.67","3.56","1.0","16610","656420"
"Walker Buehler","LAD","6","3","0","12","12","65.0","8.03","2.35","1.11",".312","74.9%","48.0%","12.7%","95.4","4.02","4.28","3.80","3.64","1.0","19374","621111"
"Wandy Peralta","NYY","3","4","4","56","0","56.1","7.51","2.72","0.32",".256","71.7%","53.9%","4.3%","95.3","2.72","2.66","2.86","3.61","1.0","14295","593974"
"Brock Burke","TEX","7","5","0","52","0","82.1","9.84","2.62","0.98",".266","83.8%","39.6%","10.0%","95.1","1.97","3.31","3.29","3.49","0.9","17968","656271"
"Duane Underwood Jr.","PIT","1","6","1","51","1","57.1","8.95","3.92","0.16",".333","61.2%","48.5%","2.1%","96.2","4.40","4.11","2.92","3.91","0.9","14677","621249"
"Brooks Raley","TBR","1","2","6","60","0","53.2","10.23","2.52","0.50",".254","72.5%","37.5%","6.5%","90.9","2.68","2.79","2.74","3.28","0.9","10061","548384"
"Ryne Stanek","HOU","2","1","1","59","0","54.2","10.21","5.10","0.33",".264","91.9%","38.9%","3.8%","98.5","1.15","3.19","3.02","3.95","0.9","15947","592773"
"Tyler Kinley","COL","1","1","0","25","0","24.0","10.13","2.25","0.00",".318","82.1%","39.4%","0.0%","95.7","0.75","2.59","1.74","3.16","0.9","18297","641755"
"Ian Anderson","ATL","10","6","0","22","22","111.2","7.82","4.35","0.97",".313","69.8%","47.9%","11.7%","93.9","5.00","4.37","4.25","4.22","0.9","19951","666120"
"Roansy Contreras","PIT","5","5","0","21","18","95.0","8.15","3.69","1.23",".257","74.4%","36.4%","10.7%","95.8","3.79","4.43","4.38","4.48","0.9","22810","672710"
"Chris Paddack","MIN","1","2","0","5","5","22.1","8.06","0.81","0.00",".357","64.3%","44.1%","0.0%","93.5","4.03","3.10","1.72","3.18","0.9","20099","663978"
"Austin Gomber","COL","5","7","0","33","17","124.2","6.86","2.45","1.44",".310","64.1%","42.6%","13.7%","91.1","5.56","4.59","4.54","4.19","0.9","16561","596295"
"Aaron Ashby","MIL","2","10","1","27","19","107.1","10.57","3.94","1.26",".324","70.3%","56.9%","19.7%","95.9","4.44","3.75","4.06","3.29","0.9","23550","676879"
"Andrew Chafin","DET","2","3","3","64","0","57.1","10.52","2.98","0.78",".289","69.8%","51.3%","9.6%","91.8","2.83","2.92","3.06","3.27","0.9","12988","605177"
"Tyler Wells","BAL","7","7","0","23","23","103.2","6.60","2.43","1.39",".246","72.7%","36.6%","11.0%","93.7","4.25","3.80","4.52","4.60","0.9","20000","669330"
"Zach Jackson","OAK","2","3","3","54","0","48.0","12.56","6.19","0.19",".273","73.1%","26.8%","1.9%","94.6","3.00","3.59","2.78","4.14","0.9","19493","667427"
"Spenser Watkins","BAL","5","6","0","23","20","105.1","5.38","2.56","0.94",".308","68.3%","41.5%","8.6%","91.6","4.70","5.07","4.24","4.68","0.9","17489","657093"
"Zach Plesac","CLE","3","12","0","25","24","131.2","6.84","2.60","1.30",".288","68.9%","40.0%","11.7%","92.2","4.31","5.28","4.45","4.39","0.9","19979","668676"
"Adam Cimber","TOR","10","6","4","77","0","70.2","7.39","1.66","0.76",".288","75.1%","41.8%","8.3%","86.4","2.80","3.64","3.47","3.87","0.9","15288","643256"
"John Brebbia","SFG","6","2","0","76","11","68.0","7.15","2.38","0.66",".314","75.9%","36.3%","5.1%","94.3","3.18","3.49","3.32","4.50","0.9","12777","605154"
"Yimi Garcia","TOR","4","5","1","61","0","61.0","8.56","2.36","0.89",".258","70.5%","39.6%","7.7%","94.9","3.10","2.90","3.47","4.09","0.9","12095","554340"
"Griffin Jax","MIN","7","4","1","65","0","72.1","9.71","2.49","0.87",".269","72.3%","47.3%","10.1%","95.4","3.36","3.17","3.17","3.32","0.9","20253","643377"
"Taylor Hearn","TEX","6","8","1","31","13","100.0","8.73","3.87","0.99",".325","67.6%","37.6%","9.9%","94.8","5.13","4.81","3.98","4.20","0.9","18325","621368"
"Jovani Moran","MIN","0","1","1","31","0","40.2","11.95","3.98","0.00",".272","74.4%","48.9%","0.0%","93.4","2.21","2.28","1.78","2.88","0.9","20422","663558"
"Lucas Luetge","NYY","4","4","2","50","0","57.1","9.42","2.67","0.63",".355","82.9%","35.3%","5.6%","","2.67","3.57","3.03","3.95","0.9","8337","476595"
