"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Kyle Hendricks","CHC","4","6","0","16","16","84.1","7.04","2.56","1.60",".282","73.6%","36.2%","13.5%","87.1","4.80","5.07","4.82","4.46","0.4","12049","543294"
"James Kaprielian","OAK","5","9","0","26","26","134.0","6.58","3.96","1.07",".263","72.0%","37.7%","8.9%","94.0","4.23","4.62","4.63","5.06","0.3","18331","621076"
"Diego Castillo","SEA","7","3","7","59","0","54.1","8.78","3.64","0.83",".250","64.9%","46.2%","10.0%","95.8","3.64","2.96","3.68","3.85","0.3","17496","650895"
"Mike Baumann","BAL","1","3","0","13","4","34.1","6.03","2.36","0.79",".357","70.3%","50.9%","8.3%","96.1","4.72","4.43","3.87","4.29","0.3","20206","657508"
"Victor Arano","WSN","1","1","1","43","0","42.0","9.43","2.57","1.07",".344","58.9%","51.6%","13.5%","94.4","4.50","3.62","3.71","3.46","0.3","15915","644364"
"Alex Faedo","DET","1","5","0","12","12","53.2","7.38","4.19","1.17",".335","69.4%","31.2%","9.2%","92.8","5.53","5.53","4.62","5.02","0.3","19874","656412"
"Colin Holderman","- - -","5","0","0","24","0","28.1","7.62","4.45","0.00",".263","63.2%","45.3%","0.0%","96.9","3.81","3.59","3.32","4.79","0.3","22361","670059"
"Nick Sandlin","CLE","5","2","0","46","0","44.0","8.39","4.91","0.41",".227","80.1%","55.9%","5.9%","93.8","2.25","3.36","3.68","4.23","0.3","20517","680704"
"Jimmy Lambert","CHW","1","2","0","42","2","47.0","8.62","4.60","0.77",".277","79.1%","36.1%","6.9%","94.4","3.26","3.05","3.90","4.62","0.3","19541","669424"
"Luis Ortiz","PIT","0","2","0","4","4","16.0","9.56","5.63","0.56",".171","54.2%","43.9%","5.9%","98.5","4.50","2.96","3.67","4.44","0.3","27646","682847"
"Chad Green","NYY","1","1","1","14","0","15.0","9.60","3.00","0.60",".300","72.3%","25.0%","4.5%","94.8","3.00","3.24","2.85","4.15","0.3","15552","643338"
"Ty Blach","COL","1","0","1","24","1","44.1","5.89","2.23","0.81",".320","59.9%","43.0%","7.0%","91.2","5.89","4.08","3.86","4.59","0.3","14361","621389"
"Brett Martin","TEX","1","7","3","55","1","50.0","7.20","3.24","0.72",".307","65.7%","50.7%","9.8%","93.6","4.14","3.83","3.63","3.81","0.3","17369","656685"
"Joel Kuhnel","CIN","2","3","1","53","0","58.0","8.69","2.17","1.24",".343","60.2%","52.2%","15.1%","96.3","6.36","3.78","3.96","3.52","0.3","19995","669270"
"Aaron Bummer","CHW","2","1","2","32","0","26.2","10.13","3.38","0.68",".384","79.1%","63.5%","18.2%","","2.36","3.94","3.19","2.82","0.3","16258","607481"
"Ryne Nelson","ARI","1","1","0","3","3","18.1","7.85","2.95","0.98",".156","90.2%","23.4%","6.9%","94.5","1.47","2.24","3.77","4.69","0.3","26253","669194"
