Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
798,Framber Valdez*,28,HOU,201.1,31,31,71,3.17,4.20,0.47,0.19,0.00,98.3,3.85,16,1.8,,-0.1,3.5,33,.558,.511,$3000000,Amateur Free Agent,valdefr01
799,Phillips Valdez,30,BOS,16.1,13,0,11,6.06,4.39,0.05,-0.29,0.00,104.7,4.24,-3,-0.3,.33,0.1,-0.1,-2,.474,.498,,Waivers,valdeph01
800,Josh VanMeter,27,PIT,3.0,3,0,13,39.00,4.87,0.00,-0.33,0.00,104.0,4.72,-11,-0.9,.00,0.4,-0.4,-11,.217,.495,,Traded,vanmejo01
801,Ildemaro Vargas,30,WSN,1.0,1,0,0,0.00,4.84,-0.26,-0.32,0.00,92.0,4.40,0,0.1,.00,0.0,0.0,1,.554,.500,,Free Agency,vargail01
802,Louie Varland,24,MIN,26.0,5,5,11,3.81,4.31,0.20,0.20,0.00,99.0,4.27,1,0.2,,0.0,0.4,4,.532,.501,,Amateur Draft,varlalo01
803,Andrew Vasquez*,28,2TM,8.2,10,0,6,6.23,4.53,0.20,-0.30,0.00,96.4,3.87,-2,-0.2,.25,0.1,-0.1,-2,.477,.498,,Waivers,vasquan02
804,Vince Velasquez,30,CHW,75.1,27,9,42,5.02,4.27,-0.15,-0.03,0.15,103.1,4.68,-3,-0.3,.59,-0.1,0.4,4,.490,.498,$3000000,Free Agency,velasvi01
805,Drew VerHagen,31,STL,21.2,19,0,18,7.48,4.48,0.44,-0.30,0.51,94.5,4.02,-8,-0.9,1.24,-0.2,-0.8,-6,.455,.495,$2500000,Free Agency,verhadr01
806,Justin Verlander,39,HOU,175.0,28,28,43,2.21,4.35,0.44,0.20,0.00,97.2,4.00,35,4.2,,-0.1,5.7,50,.651,.526,$25000000,Free Agency,verlaju01
807,Alex Vesia*,26,LAD,54.1,63,0,14,2.32,4.44,0.42,-0.30,0.10,102.6,3.92,10,1.0,1.16,-0.1,1.5,15,.516,.506,,Traded,vesiaal01
808,Nick Vespi*,26,BAL,26.1,25,0,12,4.10,4.30,0.22,-0.29,0.42,104.3,4.40,1,0.1,1.04,-0.1,0.3,3,.504,.501,,Amateur Draft,vespini01
809,Will Vest,27,DET,63.0,59,2,30,4.29,4.31,0.16,-0.28,0.00,96.8,3.75,-3,-0.4,.83,-0.1,0.1,2,.494,.498,,Rule 5 returned,vestwi01
